6.071,-16.648,-7.785,-14.077,-1.636,
5.776,-3.272,-4.011,-7.556,-5.554,
7.510,0.123,-0.250,-2.504,-6.536,
7.196,7.284,1.774,-1.688,3.733,
3.042,1.836,-0.128,-8.600,1.139,
7.238,-4.787,2.655,-5.062,-7.122,
2.484,-0.279,2.233,-3.228,-0.098,
24.543,5.201,7.232,-32.220,-17.789,
26.853,4.971,8.804,-32.352,-18.382,
6.139,3.567,1.554,0.788,-6.694,
3.641,0.779,0.630,-5.739,-3.570,
3.117,-5.084,-2.277,-7.605,-4.386,
11.350,-24.264,-11.537,-10.729,7.859,
30.858,6.838,-19.889,-16.713,-50.912,
4.204,2.654,2.691,0.381,0.342,
31.667,-10.005,-3.244,-37.741,-21.250,
23.754,-0.202,3.153,-18.819,-14.798,
13.339,0.436,-12.466,-4.144,-23.250,
6.742,-4.880,-2.347,-5.491,-1.409,
4.081,1.207,-2.952,-1.940,-0.609,
13.502,1.498,3.823,-10.321,-9.601,
13.564,8.888,5.118,4.385,0.610,
3.708,0.850,2.041,-2.200,-3.271,
7.650,-1.741,-0.020,1.525,0.774,
15.139,-3.872,-0.104,-12.361,-2.267,
12.114,3.455,-3.852,-4.160,-3.473,
17.066,6.653,2.615,-8.418,-11.939,
13.874,-2.919,-2.913,-3.882,-2.969,
15.042,0.601,-3.867,2.454,1.337,
6.741,3.132,-1.341,-0.541,0.265,
10.678,4.071,1.071,3.106,-0.556,
21.160,-14.705,7.676,-18.088,-14.641,
19.081,-12.381,5.608,-17.446,-12.233,
17.823,9.205,3.708,3.591,1.468,
18.363,5.294,1.056,2.943,-2.336,
14.017,4.979,4.437,-2.453,-0.545,
14.646,4.389,-0.531,2.288,-0.777,
9.878,-0.867,1.144,1.500,-0.672,
20.932,-2.629,2.760,-0.133,-6.849,
16.718,-2.313,2.154,-4.877,-6.236,
16.371,-0.913,3.202,4.669,-5.118,
21.461,-3.906,4.354,-4.510,-6.845,
10.794,-0.765,2.083,-1.339,-1.871,
5.296,1.730,1.013,0.130,3.748,
17.701,6.466,2.003,-1.460,-0.734,
14.047,5.702,1.936,-1.446,-1.808,
6.654,-3.034,-2.944,-9.006,-7.176,
9.167,-6.688,-7.427,-13.404,-10.275,
13.262,-11.686,-4.292,-22.303,-5.528,
22.184,2.321,8.318,-17.778,2.616,
20.176,2.496,6.977,-15.507,0.719,
4.550,0.693,1.303,-1.375,-2.477,
16.280,3.736,6.578,-13.351,2.566,
23.363,5.040,9.961,-18.579,3.060,
14.509,1.820,5.579,-11.861,3.875,
24.353,3.687,9.251,-19.345,2.859,
11.544,5.428,6.060,-9.189,1.380,
6.671,-15.932,-8.435,-14.446,-3.312,
21.660,4.772,10.043,-6.008,-7.499,
28.332,3.220,23.244,-17.158,0.532,
4.597,-4.515,-4.197,-4.924,1.689,
7.581,-1.573,-2.959,-8.568,-7.931,
8.834,-0.569,-2.185,1.056,-5.499,
11.495,10.456,3.587,-10.741,-6.774,
20.010,-3.399,11.866,-9.847,-14.221,
12.759,-0.937,5.707,-4.169,-6.632,
14.644,-1.254,6.384,-7.870,-6.831,
13.300,8.815,6.572,-4.978,-2.812,
13.700,8.394,7.120,-4.169,-1.594,
7.777,-14.364,-7.054,-15.483,-3.934,
3.877,-10.487,-10.150,-12.872,-13.019,
7.565,-7.221,-2.514,-11.972,-2.336,
8.719,-4.010,-9.075,-11.627,-14.095,
7.476,-11.195,-5.463,-17.841,-7.847,
2.473,-3.963,-1.548,-6.254,-1.099,
16.228,-3.628,-1.744,-14.160,-10.040,
11.268,1.909,-0.288,-7.731,-5.830,
5.699,1.918,2.644,2.535,-0.412,
5.894,-7.866,-7.088,-11.273,-7.851,
18.486,-6.271,0.537,-15.471,-8.154,
19.278,-12.622,7.435,-16.119,-10.434,
20.613,-0.720,8.643,-8.397,-15.256,
23.981,-2.043,6.961,-20.535,-20.912,
3.926,-0.063,-1.276,-2.958,-2.968,
7.695,-4.386,-3.255,2.815,-5.573,
11.829,4.002,7.269,-1.213,-7.245,
6.249,-15.915,-7.328,-15.532,3.098,
10.060,-19.235,-9.846,-21.648,6.997,
10.528,-9.559,-7.140,-5.655,11.258,
4.962,0.842,-0.953,-3.353,-3.265,
13.582,8.132,7.265,-2.533,-3.789,
15.261,5.066,8.692,-18.651,-7.401,
25.075,8.818,15.281,-23.529,-9.925,
28.669,9.652,17.045,-20.137,-10.394,
10.967,1.877,0.799,-11.746,-11.635,
12.267,4.836,5.917,-14.672,-8.904,
21.151,6.148,10.658,-17.177,-12.960,
12.982,6.183,3.656,1.057,-2.981,
11.320,-6.435,0.009,-9.029,2.047,
21.012,-1.207,2.916,-17.716,-14.512,
17.867,-2.344,1.777,-17.139,-12.914,
6.093,-2.780,0.583,-8.115,1.055,
6.058,4.390,0.049,-2.125,-3.238,
8.418,-23.818,-11.690,-17.847,4.365,
11.745,-32.981,-15.386,-15.112,7.739,
10.332,-29.685,-13.273,-15.633,6.269,
17.291,4.415,3.429,-4.933,0.713,
10.095,-0.685,-0.272,-6.127,0.410,
15.209,3.713,2.310,-4.617,3.501,
9.496,-5.881,2.869,-11.574,-0.163,
9.419,-5.860,2.561,-11.273,0.373,
9.688,4.895,10.382,-5.112,-3.906,
8.355,1.678,4.057,-3.005,-5.027,
13.765,6.912,3.277,2.656,0.241,
8.531,2.182,-1.211,-15.872,-6.510,
9.003,-6.272,-1.495,-7.874,-6.299,
6.665,-4.437,0.336,-6.140,-2.521,
2.459,-4.611,-1.776,-5.678,-2.788,
9.452,-2.238,1.814,-5.782,-5.692,
24.071,-11.714,5.441,-22.363,-13.660,
19.349,-25.223,-12.845,-32.187,13.023,
2.576,-1.181,0.861,-3.169,-1.039,
6.701,1.067,1.199,3.461,0.893,
16.452,-1.737,4.640,-17.693,-1.702,
16.628,-6.645,1.115,-17.506,-5.815,
19.750,-10.248,3.246,-21.094,-2.802,
21.478,-12.309,5.064,-25.965,-1.706,
15.001,-0.880,1.791,-18.242,-4.687,
7.094,-3.985,-0.922,-12.446,-6.188,
22.317,-6.984,3.257,-28.958,-6.267,
11.454,-6.812,1.304,-19.642,-11.222,
13.834,-3.791,2.105,-20.066,-5.266,
20.211,-6.212,1.806,-24.637,-6.223,
18.366,-7.355,-2.182,-17.474,-11.748,
16.555,-2.604,1.912,-16.820,-9.611,
22.855,-9.213,-0.264,-18.868,-11.558,
6.557,-4.121,-6.600,-8.899,-2.625,
2.740,-1.128,-1.346,-6.565,-2.899,
20.183,-13.528,3.285,-13.970,-12.817,
8.006,-2.229,2.738,3.288,-2.937,
4.534,-2.761,-2.675,0.591,-3.007,
9.417,-5.345,-3.781,-4.815,4.424,
8.676,-3.108,-1.680,-5.631,-4.784,
5.439,-10.248,-7.993,-9.221,-2.861,
9.799,-1.579,0.774,0.438,-3.526,
4.542,-0.730,-2.064,-4.534,1.453,
2.232,-1.427,-2.058,-6.182,0.010,
13.163,6.506,6.172,-5.153,-0.178,
5.322,-5.446,-5.665,-8.677,-3.047,
5.602,-5.054,-4.739,-6.971,-2.964,
3.801,-0.904,-1.853,-9.649,-3.007,
4.941,-2.273,-2.218,-11.748,-3.738,
4.200,-0.936,-3.153,-12.327,-4.651,
4.900,-1.821,-3.282,-13.828,-3.651,
2.942,0.150,-0.302,-2.585,-3.061,
32.473,-2.842,5.121,-26.708,-33.016,
12.387,-1.042,3.128,-10.039,-6.288,
25.041,-0.492,5.805,-16.281,-24.473,
20.625,-0.083,3.417,-13.742,-21.161,
3.742,1.023,2.641,-2.242,-1.337,
